,Unnamed: 0,pitchIdx,inning,frame,ab,abIdx,batter,stand,speed,pitchtype,px,pz,szTop,szBottom,des,x_call,y_call,comp_call,acc
1,353,353,1,top,1,2,George Springer,R,89.4,fb-splitter,-1.37,3.08,3.62,1.72,Ball,Out,Strike,Ball,1
3,355,355,1,top,2,1,Jose Altuve,R,82.8,slider,0.73,1.96,3.05,1.45,Called Strike,Strike,Strike,Called Strike,1
4,356,356,1,top,2,2,Jose Altuve,R,91.0,4-seam fb,-1.22,4.44,3.08,1.39,Ball,Out,High,Ball,1
5,357,357,1,top,2,3,Jose Altuve,R,83.8,slider,1.27,0.7,3.05,1.48,Ball,In,Low,Ball,1
8,360,360,1,top,3,1,Michael Brantley,L,81.0,slider,-0.32,1.76,3.32,1.52,Called Strike,Strike,Strike,Called Strike,1
9,361,361,1,top,3,2,Michael Brantley,L,85.8,fb-splitter,-0.24,0.39,3.32,1.48,Ball,Strike,Low,Ball,1
10,362,362,1,top,3,3,Michael Brantley,L,81.6,slider,-0.25,2.97,3.41,1.52,Called Strike,Strike,Strike,Called Strike,1
11,363,363,1,top,3,4,Michael Brantley,L,90.6,4-seam fb,-0.27,4.05,3.35,1.52,Ball,Strike,High,Ball,1
12,364,364,1,top,3,5,Michael Brantley,L,86.5,fb-splitter,-1.29,1.99,3.35,1.52,Ball,Out,Strike,Ball,1
15,367,367,1,top,3,8,Michael Brantley,L,83.8,slider,0.73,1.21,3.35,1.52,Ball,Strike,Low,Ball,1
16,368,368,1,top,4,1,Alex Bregman,R,81.4,slider,0.92,2.3,3.13,1.45,Called Strike,In,Strike,Ball,0
18,370,370,1,bottom,5,1,DJ LeMahieu,R,88.6,4-seam fb,1.03,2.25,3.53,1.75,Ball,In,Strike,Ball,1
19,371,371,1,bottom,5,2,DJ LeMahieu,R,88.9,4-seam fb,0.69,1.46,3.5,1.75,Ball,Strike,Low,Ball,1
20,372,372,1,bottom,5,3,DJ LeMahieu,R,88.2,4-seam fb,0.28,1.19,3.5,1.69,Ball,Strike,Low,Ball,1
21,373,373,1,bottom,5,4,DJ LeMahieu,R,87.6,4-seam fb,1.44,1.91,3.53,1.75,Ball,In,Strike,Ball,1
22,374,374,1,bottom,6,1,Aaron Judge,R,90.2,4-seam fb,-0.08,1.27,4.24,2.08,Ball,Strike,Low,Ball,1
23,375,375,1,bottom,6,2,Aaron Judge,R,71.8,curveball,-0.41,2.21,4.03,2.05,Called Strike,Strike,Strike,Called Strike,1
24,376,376,1,bottom,6,3,Aaron Judge,R,87.2,changeup,-0.52,1.38,4.21,2.11,Ball,Strike,Low,Ball,1
28,380,380,1,bottom,7,1,Aaron Hicks,L,87.6,changeup,-0.04,1.59,3.5,1.54,Called Strike,Strike,Strike,Called Strike,1
29,381,381,1,bottom,7,2,Aaron Hicks,L,87.2,changeup,-0.97,1.39,3.5,1.6,Ball,Out,Low,Ball,1
30,382,382,1,bottom,7,3,Aaron Hicks,L,74.3,curveball,-0.46,1.82,3.47,1.57,Called Strike,Strike,Strike,Called Strike,1
33,385,385,1,bottom,9,1,Edwin Encarnacion,R,83.5,slider,0.68,1.26,3.41,1.66,Ball,Strike,Low,Ball,1
34,386,386,1,bottom,9,2,Edwin Encarnacion,R,84.0,slider,-0.13,2.57,3.32,1.59,Called Strike,Strike,Strike,Called Strike,1
35,387,387,1,bottom,9,3,Edwin Encarnacion,R,91.3,2-seam fb,0.06,2.52,3.5,1.59,Called Strike,Strike,Strike,Called Strike,1
36,388,388,1,bottom,9,4,Edwin Encarnacion,R,90.1,4-seam fb,-0.17,1.41,3.38,1.59,Ball,Strike,Low,Ball,1
37,389,389,1,bottom,9,5,Edwin Encarnacion,R,91.9,4-seam fb,-1.02,2.12,3.32,1.59,Ball,Out,Strike,Ball,1
38,390,390,1,bottom,9,6,Edwin Encarnacion,R,91.0,4-seam fb,-1.2,2.25,3.38,1.63,Ball,Out,Strike,Ball,1
39,391,391,1,bottom,10,1,Brett Gardner,L,87.8,changeup,-0.96,2.4,2.84,1.24,Ball,Out,Strike,Ball,1
41,393,393,1,bottom,10,3,Brett Gardner,L,90.8,4-seam fb,-0.78,0.92,3.14,1.49,Ball,Strike,Low,Ball,1
42,394,394,1,bottom,10,4,Brett Gardner,L,90.8,4-seam fb,-0.98,1.71,2.9,1.27,Ball,Out,Strike,Ball,1
43,395,395,1,bottom,11,1,Gary Sanchez,R,74.6,curveball,0.68,1.49,3.35,1.6,Called Strike,Strike,Low,Ball,0
46,398,398,2,top,12,1,Yuli Gurriel,R,84.0,fb-splitter,0.11,1.52,3.47,1.63,Called Strike,Strike,Low,Ball,0
47,399,399,2,top,12,2,Yuli Gurriel,R,89.5,4-seam fb,-0.4,4.21,3.5,1.6,Ball,Strike,High,Ball,1
48,400,400,2,top,12,3,Yuli Gurriel,R,85.9,fb-splitter,0.71,0.49,3.47,1.66,Ball,Strike,Low,Ball,1
52,404,404,2,top,13,3,Yordan Alvarez,L,91.2,4-seam fb,-1.22,5.57,3.53,1.66,Ball,Out,High,Ball,1
53,405,405,2,top,13,4,Yordan Alvarez,L,90.4,4-seam fb,-0.18,5.37,3.5,1.6,Ball,Strike,High,Ball,1
55,407,407,2,top,13,6,Yordan Alvarez,L,85.2,slider,1.36,0.05,3.41,1.6,Ball,In,Low,Ball,1
57,409,409,2,top,14,1,Carlos Correa,R,90.5,4-seam fb,-0.06,3.85,3.62,1.75,Ball,Strike,High,Ball,1
59,411,411,2,top,14,3,Carlos Correa,R,89.4,sinker,-1.66,2.92,3.62,1.84,Ball,Out,Strike,Ball,1
60,412,412,2,top,14,4,Carlos Correa,R,86.6,fb-splitter,0.89,1.58,3.62,1.75,Ball,In,Low,Ball,1
64,416,416,2,bottom,16,1,Didi Gregorius,L,87.9,4-seam fb,-0.05,2.66,3.35,1.54,Called Strike,Strike,Strike,Called Strike,1
67,419,419,2,bottom,17,1,DJ LeMahieu,R,86.6,changeup,-1.38,1.49,3.5,1.63,Ball,Out,Low,Ball,1
68,420,420,2,bottom,17,2,DJ LeMahieu,R,90.4,2-seam fb,-0.87,1.98,3.4,1.59,Called Strike,Out,Strike,Ball,0
70,422,422,2,bottom,18,1,Aaron Judge,R,83.2,slider,0.05,1.95,4.18,1.89,Called Strike,Strike,Strike,Called Strike,1
73,425,425,2,bottom,18,4,Aaron Judge,R,85.7,slider,0.94,1.22,3.95,1.9,Ball,In,Low,Ball,1
74,426,426,2,bottom,18,5,Aaron Judge,R,67.4,curveball,1.04,0.99,3.91,1.89,Ball,In,Low,Ball,1
77,429,429,3,top,19,1,Robinson Chirinos,R,89.9,4-seam fb,0.64,3.54,3.29,1.54,Ball,Strike,High,Ball,1
78,430,430,3,top,19,2,Robinson Chirinos,R,84.9,fb-splitter,1.2,0.1,3.26,1.51,Ball,In,Low,Ball,1
79,431,431,3,top,19,3,Robinson Chirinos,R,82.5,slider,1.04,2.71,3.26,1.54,Ball,In,Strike,Ball,1
80,432,432,3,top,19,4,Robinson Chirinos,R,90.1,4-seam fb,-0.22,3.83,3.23,1.52,Ball,Strike,High,Ball,1
81,433,433,3,top,20,1,Josh Reddick,L,81.6,slider,-0.07,1.48,3.32,1.52,Called Strike,Strike,Low,Ball,0
84,436,436,3,top,21,1,George Springer,R,85.3,fb-splitter,1.07,1.87,3.56,1.66,Ball,In,Strike,Ball,1
92,444,444,3,top,23,1,Michael Brantley,L,81.7,slider,-1.08,2.26,3.34,1.51,Called Strike,Out,Strike,Ball,0
96,448,448,3,top,25,1,Yuli Gurriel,R,88.8,fb-splitter,0.77,0.8,3.5,1.66,Ball,Strike,Low,Ball,1
98,450,450,3,top,25,3,Yuli Gurriel,R,93.8,4-seam fb,0.26,5.31,3.5,1.63,Ball,Strike,High,Ball,1
103,455,455,3,bottom,27,1,Aaron Hicks,L,88.2,4-seam fb,-0.18,1.44,3.66,1.55,Called Strike,Strike,Low,Ball,0
105,457,457,3,bottom,27,3,Aaron Hicks,L,83.0,slider,-1.53,1.23,3.53,1.6,Ball,Out,Low,Ball,1
106,458,458,3,bottom,27,4,Aaron Hicks,L,66.9,curveball,-0.75,1.32,3.44,1.69,Ball,Strike,Low,Ball,1
108,460,460,3,bottom,28,1,Gleyber Torres,R,70.1,curveball,0.95,1.98,3.16,1.42,Called Strike,In,Strike,Ball,0
109,461,461,3,bottom,28,2,Gleyber Torres,R,83.7,slider,-0.18,1.39,3.41,1.63,Ball,Strike,Low,Ball,1
110,462,462,3,bottom,28,3,Gleyber Torres,R,88.8,4-seam fb,-1.13,1.7,3.4,1.59,Called Strike,Out,Strike,Ball,0
111,463,463,3,bottom,28,4,Gleyber Torres,R,88.2,changeup,0.33,-0.88,3.47,1.63,Ball,Strike,Low,Ball,1
116,468,468,3,bottom,29,2,Edwin Encarnacion,R,84.7,slider,0.79,1.96,3.47,1.72,Called Strike,Strike,Strike,Called Strike,1
117,469,469,3,bottom,29,3,Edwin Encarnacion,R,88.1,4-seam fb,0.51,4.06,3.41,1.59,Ball,Strike,High,Ball,1
118,470,470,3,bottom,29,4,Edwin Encarnacion,R,83.5,slider,-0.07,0.92,3.38,1.59,Ball,Strike,Low,Ball,1
119,471,471,3,bottom,29,5,Edwin Encarnacion,R,85.8,slider,-0.68,1.86,3.38,1.59,Called Strike,Strike,Strike,Called Strike,1
121,473,473,4,top,31,1,Robinson Chirinos,R,90.9,4-seam fb,0.33,2.33,3.02,1.33,Called Strike,Strike,Strike,Called Strike,1
122,474,474,4,top,31,2,Robinson Chirinos,R,89.4,fb-splitter,-0.61,3.11,3.32,1.54,Called Strike,Strike,Strike,Called Strike,1
123,475,475,4,top,31,3,Robinson Chirinos,R,91.5,4-seam fb,0.07,3.86,3.29,1.6,Ball,Strike,High,Ball,1
125,477,477,4,top,32,1,Josh Reddick,L,90.7,4-seam fb,-0.58,2.01,3.38,1.63,Called Strike,Strike,Strike,Called Strike,1
126,478,478,4,top,32,2,Josh Reddick,L,90.1,4-seam fb,0.61,4.4,3.29,1.52,Ball,Strike,High,Ball,1
128,480,480,4,bottom,33,1,Brett Gardner,L,89.2,4-seam fb,-0.11,1.45,3.02,1.42,Called Strike,Strike,Strike,Called Strike,1
131,483,483,4,bottom,34,1,Gary Sanchez,R,89.8,4-seam fb,-1.06,1.42,3.41,1.66,Ball,Out,Low,Ball,1
132,484,484,4,bottom,34,2,Gary Sanchez,R,72.0,curveball,-0.14,1.68,3.32,1.54,Called Strike,Strike,Strike,Called Strike,1
134,486,486,4,bottom,35,1,Gio Urshela,R,89.1,4-seam fb,0.24,2.52,3.5,1.66,Called Strike,Strike,Strike,Called Strike,1
136,488,488,5,top,36,1,George Springer,R,82.5,slider,1.33,1.58,3.65,1.66,Ball,In,Low,Ball,1
140,492,492,5,top,37,2,Jose Altuve,R,84.3,slider,1.15,0.91,3.08,1.48,Ball,In,Low,Ball,1
143,495,495,5,top,38,2,Michael Brantley,L,86.9,fb-splitter,-0.02,2.57,3.44,1.52,Called Strike,Strike,Strike,Called Strike,1
144,496,496,5,top,38,3,Michael Brantley,L,87.7,fb-splitter,-0.03,0.67,3.35,1.51,Ball,Strike,Low,Ball,1
145,497,497,5,top,38,4,Michael Brantley,L,86.2,fb-cutter,0.94,0.9,3.32,1.45,Ball,In,Low,Ball,1
146,498,498,5,top,38,5,Michael Brantley,L,87.9,fb-splitter,0.93,1.45,3.26,1.51,Ball,In,Low,Ball,1
149,501,501,5,bottom,39,1,Didi Gregorius,L,86.1,changeup,-0.95,1.76,3.2,1.45,Ball,Out,Strike,Ball,1
151,503,503,5,bottom,39,3,Didi Gregorius,L,74.5,curveball,0.12,0.88,3.29,1.48,Ball,Strike,Low,Ball,1
153,505,505,5,bottom,40,1,DJ LeMahieu,R,87.8,changeup,0.65,0.68,3.44,1.66,Ball,Strike,Low,Ball,1
155,507,507,5,bottom,40,3,DJ LeMahieu,R,89.0,4-seam fb,-1.74,3.37,3.53,1.81,Ball,Out,Strike,Ball,1
157,509,509,5,bottom,41,1,Aaron Judge,R,87.9,changeup,-0.59,1.18,4.18,2.05,Ball,Strike,Low,Ball,1
